time	V(n002)	I(C1)	I(I1)	I(V1)
5.039782634703442e-01	2.473668e-01	6.084097e+01	1.000000e+00	-6.184097e+01
5.059313884703442e-01	3.641129e-01	5.848204e+01	1.000000e+00	-5.948204e+01
5.078845134703442e-01	4.753824e-01	5.524348e+01	1.000000e+00	-5.624348e+01
5.098376384703442e-01	5.795016e-01	5.117402e+01	1.000000e+00	-5.217402e+01
5.117907634703442e-01	6.749047e-01	4.633485e+01	1.000000e+00	-4.733485e+01
5.137438884703442e-01	7.601565e-01	4.079876e+01	1.000000e+00	-4.179876e+01
5.156970134703442e-01	8.339749e-01	3.464901e+01	1.000000e+00	-3.564902e+01
5.176501384703442e-01	8.952495e-01	2.797812e+01	1.000000e+00	-2.897812e+01
5.196032634703442e-01	9.430588e-01	2.088641e+01	1.000000e+00	-2.188641e+01
5.215563884703442e-01	9.766835e-01	1.348054e+01	1.000000e+00	-1.448054e+01
5.235095134703442e-01	9.956180e-01	5.871922e+00	1.000000e+00	-6.871922e+00
5.254626384703442e-01	9.995775e-01	-1.825021e+00	1.000000e+00	8.250206e-01
5.274157634703442e-01	9.885024e-01	-9.494513e+00	1.000000e+00	8.494513e+00
5.293688884703442e-01	9.625594e-01	-1.702120e+01	1.000000e+00	1.602120e+01
5.313220134703442e-01	9.221385e-01	-2.429187e+01	1.000000e+00	2.329187e+01
5.332751384703442e-01	8.678479e-01	-3.119717e+01	1.000000e+00	3.019717e+01
5.352282634703442e-01	8.005039e-01	-3.763323e+01	1.000000e+00	3.663323e+01
5.371813884703442e-01	7.211197e-01	-4.350326e+01	1.000000e+00	4.250326e+01
5.391345134703442e-01	6.308891e-01	-4.871895e+01	1.000000e+00	4.771895e+01
5.410876384703442e-01	5.311694e-01	-5.320187e+01	1.000000e+00	5.220187e+01
5.430407634703442e-01	4.234604e-01	-5.688458e+01	1.000000e+00	5.588458e+01
5.449938884703442e-01	3.093822e-01	-5.971170e+01	1.000000e+00	5.871170e+01
5.469470134703442e-01	1.906505e-01	-6.164069e+01	1.000000e+00	6.064069e+01
5.489001384703442e-01	6.905135e-02	-6.264256e+01	1.000000e+00	6.164256e+01
5.508532634703442e-01	-5.358645e-02	-6.270221e+01	1.000000e+00	6.170221e+01
5.528063884703442e-01	-1.754182e-01	-6.181878e+01	1.000000e+00	6.081878e+01
5.547595134703442e-01	-2.946116e-01	-6.000552e+01	1.000000e+00	5.900552e+01
5.567126384703442e-01	-4.093737e-01	-5.728973e+01	1.000000e+00	5.628973e+01
5.586657634703442e-01	-5.179785e-01	-5.371225e+01	1.000000e+00	5.271225e+01
5.606188884703442e-01	-6.187924e-01	-4.932689e+01	1.000000e+00	4.832689e+01
5.625720134703442e-01	-7.102990e-01	-4.419960e+01	1.000000e+00	4.319960e+01
5.645251384703442e-01	-7.911221e-01	-3.840751e+01	1.000000e+00	3.740751e+01
5.664782634703442e-01	-8.600460e-01	-3.203773e+01	1.000000e+00	3.103774e+01
5.684313884703442e-01	-9.160340e-01	-2.518608e+01	1.000000e+00	2.418608e+01
5.703845134703442e-01	-9.582440e-01	-1.795561e+01	1.000000e+00	1.695561e+01
5.723376384703442e-01	-9.860411e-01	-1.045507e+01	1.000000e+00	9.455068e+00
5.742907634703442e-01	-9.990072e-01	-2.797271e+00	1.000000e+00	1.797271e+00
5.762438884703442e-01	-9.969474e-01	4.902599e+00	1.000000e+00	-5.902599e+00
5.781970134703442e-01	-9.798925e-01	1.252873e+01	1.000000e+00	-1.352873e+01
5.801501384703442e-01	-9.480991e-01	1.996642e+01	1.000000e+00	-2.096642e+01
5.821032634703442e-01	-9.020455e-01	2.710379e+01	1.000000e+00	-2.810379e+01
5.840563884703442e-01	-8.424242e-01	3.383350e+01	1.000000e+00	-3.483350e+01
5.860095134703442e-01	-7.701321e-01	4.005432e+01	1.000000e+00	-4.105432e+01
5.879626384703442e-01	-6.862565e-01	4.567268e+01	1.000000e+00	-4.667268e+01
