time	V(n002)	V(n001)	V(n004)	I(C2)	I(C1)	I(V2)	I(V1)
2.364001384703442e-01	7.542456e-01	1.754246e+00	7.101014e-01	-2.061452e+01	-2.061452e+01	2.061452e+01	2.061452e+01
2.383532634703442e-01	6.681995e-01	1.668200e+00	6.671187e-01	-2.335822e+01	-2.335822e+01	2.335822e+01	2.335822e+01
2.403063884703442e-01	5.721030e-01	1.572103e+00	6.191157e-01	-2.575061e+01	-2.575061e+01	2.575061e+01	2.575061e+01
2.422595134703442e-01	4.674015e-01	1.467402e+00	5.668142e-01	-2.775567e+01	-2.775567e+01	2.775567e+01	2.775567e+01
2.442126384703442e-01	3.556698e-01	1.355670e+00	5.110009e-01	-2.934327e+01	-2.934327e+01	2.934327e+01	2.934327e+01
2.461657634703442e-01	2.385886e-01	1.238589e+00	4.525154e-01	-3.048952e+01	-3.048952e+01	3.048952e+01	3.048952e+01
2.481188884703442e-01	1.179187e-01	1.117919e+00	3.922372e-01	-3.117717e+01	-3.117717e+01	3.117717e+01	3.117717e+01
2.500720134703442e-01	-4.524725e-03	9.954753e-01	3.310731e-01	-3.139590e+01	-3.139590e+01	3.139590e+01	3.139590e+01
2.520251384703442e-01	-1.269001e-01	8.730999e-01	2.699430e-01	-3.114240e+01	-3.114240e+01	3.114240e+01	3.114240e+01
2.539782634703442e-01	-2.473668e-01	7.526332e-01	2.097663e-01	-3.042048e+01	-3.042048e+01	3.042048e+01	3.042048e+01
2.559313884703442e-01	-3.641129e-01	6.358871e-01	1.514482e-01	-2.924102e+01	-2.924102e+01	2.924102e+01	2.924102e+01
2.569079509703442e-01	-4.205390e-01	5.794610e-01	1.232617e-01	-2.848499e+01	-2.848499e+01	2.848499e+01	2.848499e+01
2.578845134703442e-01	-4.753824e-01	5.246176e-01	9.586580e-02	-2.762174e+01	-2.762174e+01	2.762174e+01	2.762174e+01
2.588610759703442e-01	-5.284365e-01	4.715635e-01	6.936371e-02	-2.665454e+01	-2.665454e+01	2.665454e+01	2.665454e+01
2.598376384703442e-01	-5.795016e-01	4.204984e-01	4.385515e-02	-2.558701e+01	-2.558701e+01	2.558701e+01	2.558701e+01
2.608142009703442e-01	-6.283857e-01	3.716143e-01	1.943611e-02	-2.442318e+01	-2.442318e+01	2.442318e+01	2.442318e+01
2.617907634703442e-01	-6.749047e-01	3.250953e-01	-3.801483e-03	-2.316742e+01	-2.316742e+01	2.316742e+01	2.316742e+01
2.627673259703442e-01	-7.188835e-01	2.811165e-01	-2.577018e-02	-2.182447e+01	-2.182447e+01	2.182447e+01	2.182447e+01
2.637438884703442e-01	-7.601565e-01	2.398435e-01	-4.638730e-02	-2.039938e+01	-2.039938e+01	2.039938e+01	2.039938e+01
2.647204509703442e-01	-7.985685e-01	2.014315e-01	-6.557523e-02	-1.889751e+01	-1.889751e+01	1.889751e+01	1.889751e+01
2.656970134703442e-01	-8.339749e-01	1.660251e-01	-8.326176e-02	-1.732451e+01	-1.732451e+01	1.732451e+01	1.732451e+01
2.666735759703442e-01	-8.662424e-01	1.337576e-01	-9.938031e-02	-1.568630e+01	-1.568630e+01	1.568630e+01	1.568630e+01
2.676501384703442e-01	-8.952495e-01	1.047505e-01	-1.138702e-01	-1.398906e+01	-1.398906e+01	1.398906e+01	1.398906e+01
2.686267009703442e-01	-9.208872e-01	7.911285e-02	-1.266770e-01	-1.223916e+01	-1.223916e+01	1.223916e+01	1.223916e+01
2.696032634703442e-01	-9.430588e-01	5.694124e-02	-1.377524e-01	-1.044320e+01	-1.044320e+01	1.044320e+01	1.044320e+01
2.705798259703442e-01	-9.616809e-01	3.831909e-02	-1.470547e-01	-8.607937e+00	-8.607937e+00	8.607937e+00	8.607937e+00
2.715563884703442e-01	-9.766835e-01	2.331649e-02	-1.545489e-01	-6.740272e+00	-6.740272e+00	6.740272e+00	6.740272e+00
2.725329509703442e-01	-9.880101e-01	1.198990e-02	-1.602069e-01	-4.847239e+00	-4.847239e+00	4.847239e+00	4.847239e+00
2.735095134703442e-01	-9.956180e-01	4.381960e-03	-1.640073e-01	-2.935961e+00	-2.935961e+00	2.935961e+00	2.935961e+00
2.744860759703442e-01	-9.994787e-01	5.213026e-04	-1.659358e-01	-1.013633e+00	-1.013633e+00	1.013633e+00	1.013633e+00
